board,subject,grade,chapter,concept,skill,prereq_concepts_L1_same_chapter,prereq_skills_L1_same_chapter,prereq_concepts_L2_cross_chapter,prereq_skills_L2_cross_chapter,prereq_concepts_L3_prior_grade,prereq_skills_L3_prior_grade
CBSE,Environmental Science,Grade 5,Chapter01_Water—The_Essence_of_Life,Water Sources and Storage in Olden Days,"Identify traditional sources of water storage such as step wells, lakes, and wells",[],[],[],[],[],[]
CBSE,Environmental Science,Grade 5,Chapter01_Water—The_Essence_of_Life,Water Sources and Storage in Olden Days,Recognize various pots used to store water in earlier days,[],[],[],[],[],[]
CBSE,Environmental Science,Grade 5,Chapter01_Water—The_Essence_of_Life,Water Sources and Storage in Olden Days,Explain why old structures for water collection have become dysfunctional today,[],"[""Identify traditional sources of water storage such as step wells, lakes, and wells""]",[],[],[],[]
CBSE,Environmental Science,Grade 5,Chapter01_Water—The_Essence_of_Life,Customs Related to Water,Describe various customs and festivals related to water,[],[],[],[],[],[]
CBSE,Environmental Science,Grade 5,Chapter01_Water—The_Essence_of_Life,Ways of Getting Water at Homes,List different ways people get water in their houses,[],[],[],[],[],[]
CBSE,Environmental Science,Grade 5,Chapter01_Water—The_Essence_of_Life,Ways of Getting Water at Homes,Explain the unequal access to water faced by different people,[],[],[],[],[],[]
CBSE,Environmental Science,Grade 5,Chapter01_Water—The_Essence_of_Life,Restoring and Managing Water Resources,Describe ways in which traditional water bodies can be restored,[],[],[],[],[],[]
CBSE,Environmental Science,Grade 5,Chapter01_Water—The_Essence_of_Life,Restoring and Managing Water Resources,Calculate the water usage rate by reading a sample water bill,[],[],[],[],[],[]
CBSE,Environmental Science,Grade 5,Chapter01_Water—The_Essence_of_Life,Restoring and Managing Water Resources,Explain the contribution of Al-Biruni's book to understanding water history,[],[],[],[],[],[]
CBSE,Environmental Science,Grade 5,Chapter01_Water—The_Essence_of_Life,Restoring and Managing Water Resources,Design methods or structures for conserving water at home or school,[],[],[],[],[],[]
CBSE,Environmental Science,Grade 5,Chapter01_Water—The_Essence_of_Life,Floating and Sinking of Objects in Water,Classify objects as those that float and those that sink in water,[],[],[],[],[],[]
CBSE,Environmental Science,Grade 5,Chapter01_Water—The_Essence_of_Life,Floating and Sinking of Objects in Water,Explain the reason for floating and sinking of different objects,[],[],[],[],[],[]
CBSE,Environmental Science,Grade 5,Chapter01_Water—The_Essence_of_Life,Floating and Sinking of Objects in Water,Relate the high salt content of the Dead Sea to the floating of objects in it,[],[],[],[],[],[]
CBSE,Environmental Science,Grade 5,Chapter01_Water—The_Essence_of_Life,Solubility of Substances in Water,Classify objects and substances as soluble or insoluble in water through a simple activity,[],[],[],[],[],[]
CBSE,Environmental Science,Grade 5,Chapter01_Water—The_Essence_of_Life,Solubility of Substances in Water,Explain how some substances can be separated after being dissolved in water,[],[],[],[],[],[]
CBSE,Environmental Science,Grade 5,Chapter01_Water—The_Essence_of_Life,Evaporation of Water,Describe the process of drying things in the sun as an example of evaporation,[],[],[],[],[],[]
